Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2010 [YR2010],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005]
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.985522312,0.950695879,1.036293852,1.099779111,1.13504405,1.031811348,0.81330073,0.777674934,0.792137069,..,0.976184198,0.988077383,0.941828905,0.895577672,0.924869437,0.930262948,0.939403983,0.888658009,0.811753508,0.821840076,0.813539291
Angola,AGO,Forest area (% of land area),AG.LND.FRST.ZS,57.4339761,56.9887511,56.54352611,56.09830111,55.65307612,55.20784471,54.76262934,54.31740595,53.87217454,53.42695115,57.87920109,62.33144301,61.88621882,61.44099463,60.99577043,60.55054624,58.32442528,58.76964947,59.21487367,59.66009786,60.10532205
Antigua and Barbuda,ATG,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,0.134594056,..,..,..,..,..,0.201823136,0.295151591,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.050420408,7.74276315,5.136050692,5.185713244,5.236665308,5.289885738,5.239717055,5.296940139,5.354476455,..,5.56628433,4.341705369,4.532974149,4.980969957,5.169522468,4.978406237,16.02434762,5.621003692,5.474300638,5.319470442,5.033021488
Antigua and Barbuda,ATG,Forest area (% of land area),AG.LND.FRST.ZS,19.80454545,19.65454545,19.50454545,19.35454545,19.20454545,19.04545455,18.90909091,18.75,18.59090909,18.45454545,19.95454545,21.47727273,21.325,21.17272727,21.02045455,20.86818182,20.10681818,20.25909091,20.41136364,20.56363636,20.71590909
Arab World,ARB,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,1.498731306,..,..,..,..,..,0.281367324,0.470571563,..,..,..,..,..,..,..,..,..
Arab World,ARB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.336633558,4.533164747,4.513582982,4.568055328,4.590845752,4.550515314,4.511544658,4.375073798,4.408389449,..,4.34437799,3.326407713,3.436030635,3.477800441,3.506168157,3.613896768,4.198569989,4.160964127,3.945361574,3.882117939,3.773437342
Arab World,ARB,Forest area (% of land area),AG.LND.FRST.ZS,2.97909048,2.960547902,2.942050711,2.923542713,2.905073453,2.887458066,2.868050195,2.848500463,2.830678707,2.812928807,2.859551987,3.002027967,1.72047383,1.718538434,1.716629651,1.714695751,1.7053773,1.706933506,1.708872217,1.710812455,1.712758798
Argentina,ARG,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,1.070066088,..,..,..,..,..,1.075024429,0.87678277,..,..,..,..,..,..,..,..,..
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.280989353,4.264223782,4.342115069,4.209095633,4.301913876,4.201845776,4.071308362,3.975771971,3.740650291,..,4.099689714,3.587392038,3.360371185,3.117424829,3.351723713,3.672973996,3.867569967,4.172388531,4.102629636,3.94249129,3.753639235
Argentina,ARG,Forest area (% of land area),AG.LND.FRST.ZS,10.9587129,10.87708144,10.79544998,10.71381852,10.63218706,10.60039683,10.55983688,10.52037315,10.48017861,10.44071488,11.04034436,12.19648554,12.08087142,11.9652573,11.84964318,11.73402906,11.15595848,11.27157259,11.38718671,11.50280083,11.61841495
Armenia,ARM,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,0.020048131,..,..,..,..,..,0.060223005,0.059862494,..,..,..,..,..,..,..,..,..
Armenia,ARM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.71734338,1.983192027,1.89812717,1.881607737,1.825292244,1.72675284,1.823560155,1.934451579,2.086060678,..,1.508351244,1.159761363,1.180062452,1.028353516,1.159732241,1.25303469,1.561583601,1.956930356,1.773161431,1.51776299,1.496010763
Armenia,ARM,Forest area (% of land area),AG.LND.FRST.ZS,11.60351247,11.59620653,11.5889006,11.58159466,11.57428872,11.56691254,11.55953635,11.55216017,11.54478398,11.5374078,11.61081841,11.68387777,11.67657183,11.66926589,11.66195996,11.65465402,11.61812434,11.62543028,11.63273621,11.64004215,11.64734809
Aruba,ABW,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,0,..,..,..,..,..,0,0,..,..,..,..,..,..,..,..,..
Aruba,ABW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Forest area (% of land area),AG.LND.FRST.ZS,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333
Australia,AUS,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,0.214831143,..,..,..,..,..,0.445810832,-0.023314381,..,..,..,..,..,..,..,..,..
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,17.29541584,17.02204223,16.44231571,15.83042152,15.863288,15.91465712,15.81831632,15.49352925,15.23826715,..,17.59006927,17.7230721,17.80456395,17.9819247,17.72168373,18.17472687,18.22309955,18.30374802,18.52109701,18.14145349,18.14629201
Australia,AUS,Forest area (% of land area),AG.LND.FRST.ZS,16.95531026,17.04768884,17.14006743,17.23244601,17.3248246,17.42548771,17.42291362,17.42131456,17.42131456,17.42131456,16.86293167,17.15815576,17.12863335,17.09911094,17.06958853,17.04006613,16.89245408,16.92197649,16.9514989,16.98102131,17.01054372
Austria,AUT,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,-0.053645572,..,..,..,..,..,-0.057174197,-0.162994184,..,..,..,..,..,..,..,..,..
Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.135474381,7.723614487,7.753699576,7.260404228,7.317158873,7.288819983,7.486161583,7.133063919,7.293984252,..,8.365014901,7.929785513,8.444109161,8.583317475,9.168343908,9.2756141,7.721143982,8.49967402,8.587801761,8.961569195,9.26611356
Austria,AUT,Forest area (% of land area),AG.LND.FRST.ZS,46.83564879,46.88320372,46.93986502,46.98801546,47.03332525,47.07695104,47.12045565,47.16396025,47.20746486,47.25096946,46.78640201,46.47783967,46.508186,46.53853233,46.56887866,46.59922499,46.75208893,46.72174187,46.6913948,46.65991766,46.62957132
Azerbaijan,AZE,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,-1.800666964,..,..,..,..,..,-1.465240768,-0.229999223,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.973918764,3.239102868,3.285616903,3.38119922,3.292452869,3.304019557,3.243341999,3.292832354,3.542397828,..,2.684902593,3.440349875,3.254758852,3.203641763,3.469717358,3.408174257,2.850039951,3.474678865,3.219791775,3.593590676,3.579663711
Azerbaijan,AZE,Forest area (% of land area),AG.LND.FRST.ZS,12.60099567,12.71082654,12.82050351,12.92970858,13.03953365,13.15441152,13.27314606,13.41392976,13.55336705,13.69286423,12.49146571,11.95109255,12.00604692,12.05881164,12.10862895,12.16046303,12.44180848,12.38626236,12.33116944,12.27518908,12.21700097
"Bahamas, The",BHS,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,0,..,..,..,..,..,0,0,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.147167506,9.763986436,7.653297299,6.799325412,5.905932758,5.397924873,5.684363486,7.260751623,7.291661097,..,5.860211203,7.48209163,7.335981336,7.800895463,7.600847317,7.055658167,17.64874164,6.401303677,6.28358498,6.34379729,6.495345193
"Bahamas, The",BHS,Forest area (% of land area),AG.LND.FRST.ZS,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494
Bahrain,BHR,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,-3.275340396,..,..,..,..,..,-3.659095396,-5.336262378,..,..,..,..,..,..,..,..,..
Bahrain,BHR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,20.35750059,20.90093256,21.93867997,22.66343283,22.29101801,21.25133118,20.42732768,19.63120569,20.26610279,..,20.92896507,23.8937121,23.49652355,23.42410876,23.03816133,21.60641891,20.8594387,22.21335064,22.20240095,23.46563028,23.26923202
Bahrain,BHR,Forest area (% of land area),AG.LND.FRST.ZS,0.698826597,0.716883117,0.737662338,0.757457847,0.771208226,0.795892169,0.820512821,0.846153846,0.871794872,0.897435897,0.682414698,0.521126761,0.542253521,0.563380282,0.576388889,0.589041096,0.664473684,0.644736842,0.633333333,0.621621622,0.601351351
Bangladesh,BGD,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,0.179345858,..,..,..,..,..,0.178539342,0.175407546,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.364566595,0.384025166,0.396697028,0.413092687,0.461997426,0.470827565,0.496851847,0.517113005,0.556529455,..,0.342739986,0.169593942,0.198172464,0.207053129,0.212401957,0.222868797,0.306664813,0.288141386,0.266296791,0.254752395,0.235263641
Bangladesh,BGD,Forest area (% of land area),AG.LND.FRST.ZS,14.4991442,14.49155105,14.4839579,14.47636475,14.46877161,14.46877161,14.46877161,14.46877161,14.46877161,14.46877161,14.50673765,14.75246286,14.72789045,14.70331797,14.67874549,14.654173,14.53130983,14.55588308,14.58045556,14.60502804,14.62960052
Barbados,BRB,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,0,..,..,..,..,..,0,0,..,..,..,..,..,..,..,..,..
Barbados,BRB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.219366934,7.472734688,5.065179206,4.458878192,4.451033309,4.513677359,4.122573001,4.325983846,4.355082032,..,5.4939016,4.567034116,4.807445302,5.010551434,5.030419439,4.940370507,16.43502256,6.358369012,5.310350587,5.297774677,5.138969156
Barbados,BRB,Forest area (% of land area),AG.LND.FRST.ZS,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279
Belarus,BLR,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,-0.284756561,..,..,..,..,..,-0.311092738,-0.616299982,..,..,..,..,..,..,..,..,..
Belarus,BLR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.18814293,6.344981391,6.352712195,6.29728587,5.79426692,5.822979457,5.92135146,6.245507315,6.122237765,..,6.50264283,5.304816521,5.225335545,5.254649833,5.379335611,5.759420354,6.03919199,6.352864617,6.029733806,6.15517613,5.875465459
Belarus,BLR,Forest area (% of land area),AG.LND.FRST.ZS,42.53462126,42.53807107,42.54194019,42.53176531,42.53416626,42.90696987,42.97797921,43.05153217,43.12296778,43.19440339,42.53326762,40.78584106,40.96184185,41.13987083,41.31588029,41.49598146,42.37402623,42.18137013,42.00542139,41.82947265,41.66789923
Belgium,BEL,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,-0.159063838,..,..,..,..,..,-0.206374949,-0.004496841,..,..,..,..,..,..,..,..,..
Belgium,BEL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.740505152,8.577525877,8.655477512,8.041711215,8.437851999,8.314931808,8.151095679,8.196338589,8.095583954,..,9.794792242,11.43958054,11.50432068,10.72798848,11.13131453,10.94122423,9.231701273,9.984152183,9.843115874,10.30057207,10.55578237
Belgium,BEL,Forest area (% of land area),AG.LND.FRST.ZS,22.77926024,22.77549538,22.77173052,22.76796565,22.76420079,22.76420079,22.76420079,22.76420079,22.76420079,22.76420079,22.7830251,22.03764861,22.11218626,22.18672391,22.26126156,22.33579921,22.70848745,22.6339498,22.55941215,22.4848745,22.41033686
Belize,BLZ,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,0.438041204,..,..,..,..,..,0.47540258,1.014970609,..,..,..,..,..,..,..,..,..
Belize,BLZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.028852144,1.982242705,1.330606578,1.358364951,1.884042732,1.764391261,1.703146792,1.644603729,1.639550009,..,1.736622587,1.819578666,2.077877272,1.981805428,1.892898995,1.591227985,4.640002664,1.62960935,1.772391396,1.750544009,1.656107509
Belize,BLZ,Forest area (% of land area),AG.LND.FRST.ZS,60.48566418,59.97220517,59.45874616,58.94528715,58.43182815,57.94300745,57.45374836,56.96492766,56.47566857,55.98640947,60.99912319,63.97632617,63.67860587,63.38088558,63.08316528,62.78544498,61.29684349,61.59456379,61.89228409,62.19000438,62.48772468
Benin,BEN,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,1.063598011,..,..,..,..,..,1.034830348,1.287114694,..,..,..,..,..,..,..,..,..
Benin,BEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.491500279,0.456355652,0.467785082,0.50452817,0.520992816,0.619937007,0.614754528,0.646058116,0.618583746,..,0.525042566,0.206817822,0.245876343,0.298818443,0.324444105,0.341935364,0.494146663,0.46223287,0.473104595,0.422300744,0.363307326
Benin,BEN,Forest area (% of land area),AG.LND.FRST.ZS,31.79451933,31.35109968,30.90768003,30.46426038,30.02084072,29.57742107,29.13400142,28.69058177,28.24716211,27.80374246,32.23793899,36.67213551,36.22871586,35.7852962,35.34187655,34.8984569,32.68135864,33.12477829,33.56819794,34.01161759,34.45503725
Bermuda,BMU,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,0,..,..,..,..,..,0,0,..,..,..,..,..,..,..,..,..
Bermuda,BMU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,Forest area (% of land area),AG.LND.FRST.ZS,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852
Bhutan,BTN,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,-0.371190915,..,..,..,..,..,-0.374626344,-0.389208881,..,..,..,..,..,..,..,..,..
Bhutan,BTN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.851006097,0.912224067,0.94334976,0.973502632,1.057859388,1.262376046,1.301030267,1.391841887,1.375977209,..,0.583513988,0.355321532,0.381019907,0.389594569,0.414118231,0.453969796,0.471747475,0.446687163,0.481294913,0.486763075,0.493260813
Bhutan,BTN,Forest area (% of land area),AG.LND.FRST.ZS,71.02521185,71.0771047,71.12899756,71.18089042,71.23278327,71.23427013,71.28617869,71.34556896,71.39748296,71.44939696,70.97331899,65.47738693,65.7268593,65.97633166,66.22580402,69.41039431,70.71283154,70.4523441,70.19185665,69.93136921,69.67088176
Bolivia,BOL,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,0.616935994,..,..,..,..,..,0.665606893,0.439186469,..,..,..,..,..,..,..,..,..
Bolivia,BOL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.626366425,1.678603032,1.777588045,1.90631555,1.909890716,1.995137361,2.032547019,2.046129929,1.940398005,..,1.509663496,0.975259762,0.938201757,0.949350243,1.019557988,1.046416775,1.416317393,1.348563251,1.26380481,1.195259486,1.088569382
Bolivia,BOL,Forest area (% of land area),AG.LND.FRST.ZS,48.80850365,48.61302871,48.41755377,48.22207883,48.0266039,47.77132835,47.53274255,47.31213884,47.10953568,46.92491461,49.00397858,50.8643866,50.6783458,50.49230499,50.30626419,50.12022339,49.19001939,49.37606019,49.56210099,49.74814179,49.93418259
Bosnia and Herzegovina,BIH,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,0,..,..,..,..,..,0,0.11370218,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.484260583,6.091586588,6.167789961,5.597187383,5.721181036,6.597243083,6.767050642,6.799182648,6.382918043,..,5.624105757,3.721499604,3.663945867,3.872969895,3.952496648,4.136343582,5.511323147,5.529716828,5.02020957,4.756438946,4.310376759
Bosnia and Herzegovina,BIH,Forest area (% of land area),AG.LND.FRST.ZS,41.29351563,41.51945313,41.74539063,41.97132813,42.19726563,42.50996094,42.73261719,42.73261719,42.73261719,42.73261719,41.06757813,41.24316406,41.22560547,41.20804688,41.19048828,41.17292969,41.08513672,41.10269531,41.12025391,41.1378125,41.15537109
Botswana,BWA,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,0.963869614,..,..,..,..,..,0.987282904,0.897786685,..,..,..,..,..,..,..,..,..
Botswana,BWA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.925170469,1.67193666,2.627813846,3.346708888,3.277194971,3.069551079,3.32414843,3.243026912,3.147107071,..,1.695933627,2.452333155,2.310897524,2.36413982,2.260164586,2.248612758,2.144873704,2.291667032,2.303437439,2.22777692,2.378997792
Botswana,BWA,Forest area (% of land area),AG.LND.FRST.ZS,28.79572283,28.58698146,28.37824008,28.1694987,27.96075733,27.75201595,27.54327458,27.3345332,27.12579182,26.91705045,29.00446421,31.09187797,30.88313659,30.67439521,30.46565384,30.25691246,29.21320558,29.42194696,29.63068833,29.83942971,30.04817109
Brazil,BRA,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,0.363842871,..,..,..,..,..,0.446564742,0.475202687,..,..,..,..,..,..,..,..,..
Brazil,BRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.117869375,2.279272333,2.421656961,2.523232137,2.373628508,2.168574696,2.196418173,2.071854677,2.057810839,..,2.03322568,1.794549984,1.802410371,1.769880772,1.709539024,1.785371856,1.805179788,1.945681928,1.854305856,1.783625001,1.782061764
Brazil,BRA,Forest area (% of land area),AG.LND.FRST.ZS,61.02332816,60.83917474,60.65502133,60.47086792,60.28671451,60.07103255,59.83288148,59.70842795,59.55852618,59.41747805,61.20748157,65.9343586,65.4616709,64.98898319,64.51629549,64.04360779,61.68016927,62.15285698,62.62554468,63.09823238,63.57092009
British Virgin Islands,VGB,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,0.091409105,..,..,..,..,..,0.082046128,0.108343412,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,Forest area (% of land area),AG.LND.FRST.ZS,24.24,24.21333333,24.18666667,24.16,24.13333333,24.13333333,24.13333333,24.13333333,24.13333333,24.13333333,24.26666667,24.46666667,24.44666667,24.42666667,24.40666667,24.38666667,24.28666667,24.30666667,24.32666667,24.34666667,24.36666667
Brunei Darussalam,BRN,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,0.291341627,..,..,..,..,..,0.436693986,0.394333578,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,18.61885184,18.29587739,17.82826519,17.27764771,15.42488346,16.60349981,17.17391347,17.5773964,16.13215855,..,18.44923521,14.16711189,13.85143381,13.32268255,15.62433655,14.18897462,20.50002315,20.847719,19.04167531,20.30994264,13.66703853
Brunei Darussalam,BRN,Forest area (% of land area),AG.LND.FRST.ZS,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,75.33206831,75.00948767,74.68690702,74.36432638,74.04174573,72.4288425,72.75142315,73.0740038,73.39658444,73.71916509
Bulgaria,BGR,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,-0.834396043,..,..,..,..,..,-1.0240865,-0.143345915,..,..,..,..,..,..,..,..,..
Bulgaria,BGR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.755278124,6.16215311,5.458963808,5.820924714,6.207865317,5.834881981,6.20129024,5.82203361,5.61085728,..,6.049544016,5.3144536,5.767159578,5.56323884,6.164371004,6.125548534,5.764030949,6.678624427,6.971191811,6.439923574,6.265854174
Bulgaria,BGR,Forest area (% of land area),AG.LND.FRST.ZS,34.60022108,34.7770818,34.95394252,35.13080324,35.30766396,35.38135593,35.50110538,35.62085483,35.74060427,35.86035372,34.42336035,30.50709572,30.83431257,31.68566176,32.02721339,32.3630011,34.0899042,33.74090784,33.40760519,33.0682132,32.73195876
Burkina Faso,BFA,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,1.029100493,..,..,..,..,..,1.002767166,0.911314008,..,..,..,..,..,..,..,..,..
Burkina Faso,BFA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.15296686,0.177415687,0.183332656,0.180825362,0.204300066,0.198430258,0.222474208,0.23643815,0.246046246,..,0.146745851,0.080978977,0.08120832,0.078092606,0.082183395,0.081347129,0.114258558,0.115727153,0.098933279,0.089665522,0.078975196
Burkina Faso,BFA,Forest area (% of land area),AG.LND.FRST.ZS,24.36578947,24.18296784,24.0001462,23.81732456,23.63450292,23.45175439,23.26900585,23.08625731,22.90350877,22.72076023,24.54861111,26.37609649,26.19334795,26.01059942,25.82785088,25.64510234,24.73135965,24.91410819,25.09685673,25.27960526,25.4623538
Burundi,BDI,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,-2.238921479,..,..,..,..,..,-2.481514071,3.710987064,..,..,..,..,..,..,..,..,..
Burundi,BDI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.040185722,0.04001734,0.040879208,0.038601013,0.039369948,0.0419527,0.048951647,0.061742872,0.062442671,..,0.034579718,0.040759564,0.030648776,0.03132403,0.023157659,0.02103289,0.021434541,0.022150837,0.02289428,0.023659773,0.020366995
Burundi,BDI,Forest area (% of land area),AG.LND.FRST.ZS,8.219626168,8.887071651,9.554517134,10.22196262,10.8894081,10.8894081,10.8894081,10.8894081,10.8894081,10.8894081,7.552180685,7.552180685,7.552180685,7.552180685,7.552180685,7.552180685,7.552180685,7.552180685,7.552180685,7.552180685,7.552180685
Cabo Verde,CPV,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,-0.607717389,..,..,..,..,..,-0.359578071,-3.579503924,..,..,..,..,..,..,..,..,..
