country,year,poverty_gap_index_international_povline
Austria,1995,0.950711218
Austria,1997,0.185185346
Austria,2000,0.001762888
Austria,2003,0.264620861
Austria,2004,0.06691567
Austria,2005,0.102619547
Austria,2006,0.046271311
Austria,2007,0.277737078
Austria,2008,0.235531921
Austria,2009,0.466298536
Austria,2010,0.354158896
Austria,2011,0.311271339
Austria,2012,0.447584882
Austria,2013,0.231707819
Austria,2014,0.14761806
Austria,2015,0.570201955
Austria,2016,0.556140984
Austria,2017,0.238276072
Austria,2018,0.47437711
Austria,2019,0.469160745
Azerbaijan,1995,2.078704549
Azerbaijan,2001,0.430179663
Azerbaijan,2002,0.001411517
Azerbaijan,2003,0
Azerbaijan,2004,0
Azerbaijan,2005,0
Bangladesh,1983,9.810571355
Bangladesh,1985,7.253164516
Bangladesh,1988,10.98072059
Bangladesh,1991,11.06710683
Bangladesh,1995,7.96937469
Bangladesh,2000,7.762169363
Bangladesh,2005,4.911340219
Bangladesh,2010,3.473555619
Bangladesh,2016,2.615702073
Belarus,1993,0.018325415
Belarus,1995,0.357862208
Belarus,1998,2.833132276
Belarus,1999,2.732547526
Belarus,2000,1.793561737
Belarus,2001,0.719622107
Belarus,2002,0.479223636
Belarus,2003,0.358569235
Belarus,2004,0.072507437
Belarus,2005,0.073313952
Belarus,2006,0.039332982
Belarus,2007,0.004304443
Belarus,2008,0
Belarus,2009,0.007325864
Belarus,2010,0
Belarus,2011,0
Belarus,2012,0
Belarus,2013,0
Belarus,2014,0
Belarus,2015,0
Belarus,2016,0
Belarus,2017,0
Belarus,2018,0
Belarus,2019,0
Belarus,2020,0
Belgium,1985,0.193318884
Belgium,1988,0.464447776
Belgium,1992,0.778652736
Belgium,1995,0.377679851
Belgium,1997,0.280201427
Belgium,2000,0.301488374
Belgium,2003,0.154965265
Belgium,2004,0.024504112
Belgium,2005,0.138157851
Belgium,2006,0.125888565
Belgium,2007,0.086514437
Belgium,2008,0.077566753
Belgium,2009,0.057797666
Belgium,2010,0.103578474
Belgium,2011,0.092136827
Belgium,2012,0.135967472
Belgium,2013,0.127466201
Belgium,2014,0.055295722
Belgium,2015,0.056059318
Belgium,2016,0.056111424
Belgium,2017,0.117381596
Belgium,2018,0.064359431
Belgium,2019,0.063479488
Belize,1993,4.98003228
Belize,1994,4.507433
Belize,1995,4.63540832
Belize,1996,5.518776305
Belize,1997,7.680440694
Belize,1998,5.77022256
Belize,1999,6.034285203
Benin,2003,17.50254344
Benin,2011,19.05468769
Benin,2015,22.40467994
Benin,2018,4.481392849
Bhutan,2003,3.338717624
Bhutan,2007,1.602253663
Bhutan,2012,0.420768845
Bhutan,2017,0.244656114
Bolivia,1990,1.055256727
Bolivia,1992,4.752807684
Bolivia,1997,9.974800799
Bolivia,1999,15.28359591
Bolivia,2000,17.49865064
Bolivia,2001,12.28005312
Bolivia,2002,13.33312101
Bolivia,2004,5.98314363
Bolivia,2005,9.894122595
Bolivia,2006,7.997615429
Bolivia,2007,5.943125694
Bolivia,2008,5.003295127
Bolivia,2009,4.981172387
Bolivia,2011,3.034491146
Bolivia,2012,3.940122005
Bolivia,2013,3.107008547
Bolivia,2014,2.543793755
Bolivia,2015,2.797022604
Bolivia,2016,3.417228854
Bolivia,2017,2.875799299
Bolivia,2018,1.915768709
Bolivia,2019,1.026443533
Bolivia,2020,1.46999106
Bosnia and Herzegovina,2001,0.126751664
Bosnia and Herzegovina,2004,0.050272691
Bosnia and Herzegovina,2007,0.019741418
Bosnia and Herzegovina,2011,0.020295272
Botswana,1985,16.88252917
Botswana,1993,12.64205166
Botswana,2002,10.67999036
Botswana,2009,5.288877999
Botswana,2015,3.886903153
Brazil,1981,8.531793931
Brazil,1982,8.63101087
Brazil,1983,11.17452402
Brazil,1984,10.58965312
Brazil,1985,9.004264695
Brazil,1986,4.027457311
Brazil,1987,7.201421709
Brazil,1988,8.525590603
Brazil,1989,7.681201709
Brazil,1990,8.690873882
Brazil,1992,9.076516448
Brazil,1993,8.508615302
Brazil,1995,5.290579988
Brazil,1996,6.099956516
Brazil,1997,5.947875131
Brazil,1998,5.173191041
Brazil,1999,5.357170632
Brazil,2001,4.559703709
Brazil,2002,3.845545924
Brazil,2003,4.257423145
Brazil,2004,3.583806113
Brazil,2005,3.133059656
Brazil,2006,2.658871148
Brazil,2007,2.770212209
Brazil,2008,2.152128572
Brazil,2009,2.094919975
Brazil,2011,1.937232804
Brazil,2012,1.454751876
Brazil,2013,1.088470356
Brazil,2014,0.941888414
Brazil,2015,1.131506235
Brazil,2016,1.501242871
Brazil,2017,1.730057829
Brazil,2018,1.733437891
Brazil,2019,1.833901462
Brazil,2020,0.563112007
Bulgaria,1989,0.051716064
Bulgaria,1992,0
Bulgaria,1994,0.229230119
Bulgaria,1995,0.291140076
Bulgaria,1997,0.147093869
Bulgaria,2001,0.48705123
Bulgaria,2003,0.173961446
Bulgaria,2006,2.688914471
Bulgaria,2007,0.127742624
Bulgaria,2007,0.66112066
Bulgaria,2008,0.403198987
Bulgaria,2009,0.318299833
Bulgaria,2010,0.668368182
Bulgaria,2011,0.978509041
Bulgaria,2012,0.820068378
Bulgaria,2013,0.745242549
Bulgaria,2014,0.530951456
Bulgaria,2015,1.430457291
Bulgaria,2016,0.744782366
Bulgaria,2017,0.447881793
Bulgaria,2018,0.243800753
Bulgaria,2019,0.340024273
Burkina Faso,1994,48.56820304
Burkina Faso,1998,43.13592731
Burkina Faso,2003,23.83451552
Burkina Faso,2009,20.06894784
Burkina Faso,2014,11.18839809
Burkina Faso,2018,9.589320965
Burundi,1992,37.59154541
Burundi,1998,45.55387288
Burundi,2006,33.73635365
Burundi,2013,31.09222925
Cameroon,1996,17.02909226
Cameroon,2001,7.008193416
Cameroon,2007,9.444049688
Cameroon,2014,8.448534235
Canada,1971,1.599708099
Canada,1975,0.715551504
Canada,1981,0.353796389
Canada,1987,0.064115282
Canada,1991,0.120640572
Canada,1994,0.151697721
Canada,1997,0.23500425
Canada,1998,0.208471139
Canada,2000,0.14717624
Canada,2004,0.141264106
Canada,2007,0.085303319
Canada,2010,0.104409342
Canada,2012,0.084977893
Canada,2013,0.132661523
Canada,2014,0.096119824
Canada,2015,0.117510448
Canada,2016,0.110239006
Canada,2017,0.084777035
Cape Verde,2001,4.686318769
Cape Verde,2007,1.911532602
Cape Verde,2015,0.71336281
Central African Republic,1992,58.66411257
Central African Republic,2008,32.84512927
Chad,2003,24.51712874
Chad,2011,15.19020249
Chad,2018,9.31845892
Chile,1987,3.958789401
Chile,1990,2.713637478
Chile,1992,1.477597607
Chile,1994,1.830681194
Chile,1996,1.223287946
Chile,1998,1.309137723
Chile,2000,1.778185829
Chile,2003,1.732105552
Chile,2006,0.491969266
Chile,2009,0.512256437
Chile,2011,0.241740676
Chile,2013,0.162536403
Chile,2015,0.14773976
Chile,2017,0.164693869
Chile,2020,0.406108588
China,1981,42.70766246
China,1981,49.91283422
China,1981,14.09828121
China,1984,28.88234978
China,1984,34.78515262
China,1984,8.199543338
China,1987,21.50146754
China,1987,26.87129598
China,1987,4.735888802
China,1990,24.13571453
China,1990,30.07828793
China,1990,7.604294301
China,1993,20.36978798
China,1993,26.86921284
China,1993,4.536721824
China,1996,12.8882678
China,1996,17.66096339
China,1996,2.707035625
China,1999,13.07854837
China,1999,18.86511766
China,1999,2.268045283
China,2002,10.11001535
China,2002,15.76540975
China,2002,1.047402203
China,2005,4.859062813
China,2005,7.978029844
China,2005,0.643080798
China,2008,3.942734385
China,2008,7.044932939
China,2008,0.37912887
China,2010,2.665411662
China,2010,5.041894641
China,2010,0.214195904
China,2011,1.771279954
China,2011,3.418814096
China,2011,0.157080728
China,2012,1.381833409
China,2012,2.724901429
China,2012,0.130352953
China,2013,0.35331249
China,2013,0.587761676
China,2013,0.145513196
China,2014,0.291658861
China,2014,0.45939423
China,2014,0.150255896
China,2015,0.155634361
China,2015,0.226783476
China,2015,0.098586873
China,2016,0.114371156
China,2016,0.20076332
China,2016,0.048492867
China,2017,0.095357583
China,2017,0.174690303
China,2017,0.037815355
China,2018,0.067070494
China,2018,0.13915143
China,2018,0.017294288
China,2019,0.020453764
China,2019,0.035661282
China,2019,0.010444864
Colombia,1980,8.294848862
Colombia,1988,5.284637515
Colombia,1989,4.301819566
Colombia,1991,4.333650899
Colombia,1992,4.730485705
Colombia,1996,9.234063912
Colombia,1999,11.14435997
Colombia,2000,11.05390663
Colombia,2001,10.4328776
Colombia,2002,4.779489088
Colombia,2003,4.59847242
Colombia,2004,3.660249566
Colombia,2005,3.406291362
Colombia,2008,4.146997047
Colombia,2009,3.415609639
Colombia,2010,2.832644197
Colombia,2011,2.31861422
Colombia,2012,2.329776894
Colombia,2013,2.173365492
Colombia,2014,1.951623121
Colombia,2015,1.738648404
Colombia,2016,1.763743828
Colombia,2017,1.592750557
Colombia,2018,1.684398721
Colombia,2019,1.928619913
Colombia,2020,5.421338205
Comoros,2004,4.333348665
Comoros,2014,6.783189182
Congo,2005,22.9064872
Congo,2011,16.16464757
Costa Rica,1981,10.98543631
Costa Rica,1986,5.846713716
Costa Rica,1989,5.763998575
Costa Rica,1990,5.364254498
Costa Rica,1991,5.79233368
Costa Rica,1992,4.903133041
Costa Rica,1993,4.620713806
Costa Rica,1994,3.586693685
Costa Rica,1995,3.786366505
Costa Rica,1996,4.282138678
Costa Rica,1997,3.125876034
Costa Rica,1998,2.426870801
Costa Rica,1999,3.050218755
Costa Rica,2000,3.253716974
Costa Rica,2001,2.234660999
Costa Rica,2002,2.14364017
Costa Rica,2003,1.989880214
Costa Rica,2004,1.780939857
Costa Rica,2005,1.13846655
Costa Rica,2006,1.248937529
Costa Rica,2007,0.699495128
Costa Rica,2008,0.933577504
Costa Rica,2009,1.111453506
Costa Rica,2010,0.653788696
Costa Rica,2011,0.62903547
Costa Rica,2012,0.597636365
Costa Rica,2013,0.554694179
Costa Rica,2014,0.601943506
Costa Rica,2015,0.603042463
Costa Rica,2016,0.49205302
Costa Rica,2017,0.369763142
Costa Rica,2018,0.560369288
Costa Rica,2019,0.405410147
Costa Rica,2020,0.899354946
Cote d'Ivoire,1985,2.219697028
Cote d'Ivoire,1986,0.727716104
Cote d'Ivoire,1987,1.801596056
Cote d'Ivoire,1988,2.846372929
Cote d'Ivoire,1992,7.241448941
Cote d'Ivoire,1995,5.242710118
Cote d'Ivoire,1998,8.253978212
Cote d'Ivoire,2002,7.653959752
Cote d'Ivoire,2008,11.0065883
Cote d'Ivoire,2015,9.764679164
Cote d'Ivoire,2018,1.823111307
Croatia,1998,0
Croatia,1999,0.23502221
Croatia,2000,0.058708373
Croatia,2001,0.048493016
Croatia,2004,0
Croatia,2008,0
Croatia,2009,0.001625529
Croatia,2009,0.651047115
Croatia,2010,0
Croatia,2010,0.888402821
Croatia,2011,0.358828049
Croatia,2012,0.49307222
Croatia,2013,0.450767038
Croatia,2014,0.557637029
Croatia,2015,0.357373406
Croatia,2016,0.324332519
Croatia,2017,0.321899148
Croatia,2018,0.246173002
Croatia,2019,0.166350629
Cyprus,2004,0.064796793
Cyprus,2005,0.006351349
Cyprus,2006,0
Cyprus,2007,0.013360618
Cyprus,2008,0.008470223
Cyprus,2009,0.091860167
Cyprus,2010,0.022148005
Cyprus,2011,0.005813502
Cyprus,2012,0.000462419
Cyprus,2013,0.032567841
Cyprus,2014,0.05809827
Cyprus,2015,0
Cyprus,2016,0.024436659
Cyprus,2017,0.011581861
Cyprus,2018,0.016506581
Cyprus,2019,0.153831786
Czechia,1992,0
Czechia,1993,0.007611648
Czechia,1996,0
Czechia,2002,0
Czechia,2004,0
Czechia,2005,0.00246747
Czechia,2006,0.024802936
Czechia,2007,0.048268167
Czechia,2008,0.0195013
Czechia,2009,0.004523308
Czechia,2010,0.011193325
Czechia,2011,0.021460936
Czechia,2012,0.025895369
Czechia,2013,0.02340731
Czechia,2014,0
Czechia,2015,0.007851139
Czechia,2016,0
Czechia,2017,0
Czechia,2018,0.005659037
Czechia,2019,0
Democratic Republic of Congo,2004,64.09698321
Democratic Republic of Congo,2012,39.2722919
Denmark,1987,0.488358183
Denmark,1992,0.48627238
Denmark,1995,0
Denmark,2000,0
Denmark,2003,0.224956597
Denmark,2004,0.220639509
Denmark,2005,0.144407852
Denmark,2006,0.038586304
Denmark,2007,0.00270801
Denmark,2008,0.069249647
Denmark,2009,0.129406751
Denmark,2010,0.001384329
Denmark,2011,0
Denmark,2012,0
Denmark,2013,0.273650565
Denmark,2014,0.08299039
Denmark,2015,0.139732795
Denmark,2016,0.201659126
Denmark,2017,0.088165603
Denmark,2018,0.142237388
Denmark,2019,0.211993849
Djibouti,2002,5.910385189
Djibouti,2012,7.765713084
Djibouti,2013,7.423369434
Djibouti,2017,5.60466253
Dominican Republic,1986,1.792690849
Dominican Republic,1989,3.627634163
Dominican Republic,1992,1.597869015
Dominican Republic,1996,1.942091606
Dominican Republic,1997,2.11748669
Dominican Republic,2000,1.938809328
Dominican Republic,2001,1.185139413
Dominican Republic,2002,2.03146677
Dominican Republic,2003,2.343300611
Dominican Republic,2004,2.81774731
Dominican Republic,2005,1.765296173
Dominican Republic,2006,1.309234307
Dominican Republic,2007,1.313765707
Dominican Republic,2008,1.050395732
Dominican Republic,2009,0.878329679
Dominican Republic,2010,0.641805526
Dominican Republic,2011,0.742040478
Dominican Republic,2012,0.701323102
Dominican Republic,2013,0.536701632
Dominican Republic,2014,0.533283585
Dominican Republic,2015,0.451657177
Dominican Republic,2016,0.454906727
Dominican Republic,2017,0.289534523
Dominican Republic,2018,0.147056823
Dominican Republic,2019,0.167632376
Dominican Republic,2020,0.306371411
East Asia and Pacific,1990,22.12079239
East Asia and Pacific,1991,21.34312723
East Asia and Pacific,1992,20.18896137
East Asia and Pacific,1993,18.94501315
East Asia and Pacific,1994,16.44363278
East Asia and Pacific,1995,14.26698551
East Asia and Pacific,1996,12.53848298
East Asia and Pacific,1997,12.69850561
East Asia and Pacific,1998,13.47260413
East Asia and Pacific,1999,12.01978981
East Asia and Pacific,2000,10.83278422
East Asia and Pacific,2001,10.101847
East Asia and Pacific,2002,8.907368823
East Asia and Pacific,2003,7.549769214
East Asia and Pacific,2004,6.221729623
East Asia and Pacific,2005,4.672585119
East Asia and Pacific,2006,4.588346661
East Asia and Pacific,2007,3.959438409
East Asia and Pacific,2008,3.693128591
East Asia and Pacific,2009,3.103475644
East Asia and Pacific,2010,2.441955354
East Asia and Pacific,2011,1.748662837
East Asia and Pacific,2012,1.402762774
East Asia and Pacific,2013,0.615787141
East Asia and Pacific,2014,0.520578271
East Asia and Pacific,2015,0.402952974
East Asia and Pacific,2016,0.324859731
East Asia and Pacific,2017,0.273038332
East Asia and Pacific,2018,0.22302874
East Asia and Pacific,2019,0.15495302
Ecuador,1987,7.330298953
Ecuador,1994,7.712554027
Ecuador,1995,6.654982811
Ecuador,1998,6.119197955
Ecuador,1999,9.791130216
Ecuador,2000,11.67468554
Ecuador,2003,5.818460257
Ecuador,2004,6.238915121
Ecuador,2005,4.519866231
Ecuador,2006,2.850552344
Ecuador,2007,3.195638623
Ecuador,2008,2.906557141
Ecuador,2009,2.585049566
Ecuador,2010,1.930052378
Ecuador,2011,1.754121552
Ecuador,2012,1.537906246
Ecuador,2013,1.033705472
Ecuador,2014,0.823881001
Ecuador,2015,1.233038841
Ecuador,2016,1.250364775
Ecuador,2017,1.057099476
Ecuador,2018,1.013536949
Ecuador,2019,1.094824423
Ecuador,2020,2.075536526
Egypt,1990,1.289970364
Egypt,1995,0.761427632
Egypt,1999,0.396863063
Egypt,2004,0.770511823
Egypt,2008,0.726193066
Egypt,2010,0.2661747
Egypt,2012,0.207252475
Egypt,2015,0.205131625
Egypt,2017,0.641873325
El Salvador,1989,10.93851057
El Salvador,1991,10.44912398
El Salvador,1995,5.448993836
El Salvador,1996,5.946851051
El Salvador,1998,11.26906585
El Salvador,1999,8.984206603
El Salvador,2000,5.157484503
El Salvador,2001,6.066597519
El Salvador,2002,6.259869872
El Salvador,2003,7.737362087
El Salvador,2004,4.925718831
El Salvador,2005,4.097699433
El Salvador,2006,2.025212789
El Salvador,2007,1.143557888
El Salvador,2008,1.840394986
El Salvador,2009,1.797139121
El Salvador,2010,1.454266393
El Salvador,2011,1.109024601
El Salvador,2012,0.99435391
El Salvador,2013,0.768321081
El Salvador,2014,0.669846195
El Salvador,2015,0.414655338
El Salvador,2016,0.518059797
El Salvador,2017,0.416508351
El Salvador,2018,0.3409501
El Salvador,2019,0.244360928
Estonia,1993,0.448801423
Estonia,1995,0.115273909
Estonia,1998,0.022321251
Estonia,2000,0.231481666
Estonia,2001,0.247921592
Estonia,2002,0.259075512
Estonia,2003,0.172440048
Estonia,2003,1.230773607
Estonia,2004,0.109008001
Estonia,2004,0.538400915
Estonia,2005,0.306787099
Estonia,2006,0.437213433
Estonia,2007,0.254802939
Estonia,2008,0.23359981
Estonia,2009,0.238107243
Estonia,2010,0.406747332
Estonia,2011,0.541856504
Estonia,2012,0.365094291
Estonia,2013,0.612353462
Estonia,2014,0.475901105
Estonia,2015,0.395162675
Estonia,2016,0.30429803
Estonia,2017,0.174550418
Estonia,2018,0.196226547
Estonia,2019,0.315236549
Eswatini,1994,51.51116125
Eswatini,2000,17.97310426
Eswatini,2009,17.03798058
Eswatini,2016,9.761777644
Ethiopia,1981,25.66857613
Ethiopia,1995,27.77070942
Ethiopia,1999,17.3529121
Ethiopia,2004,9.198234766
Ethiopia,2010,9.759190422
Ethiopia,2015,8.868686925
Europe and Central Asia,1990,0.791035981
Europe and Central Asia,1991,0.888721996
Europe and Central Asia,1992,1.240692093
Europe and Central Asia,1993,1.494810506
Europe and Central Asia,1994,1.977859705
Europe and Central Asia,1995,2.136418374
Europe and Central Asia,1996,2.158664833
Europe and Central Asia,1997,2.062551679
Europe and Central Asia,1998,2.009201603
Europe and Central Asia,1999,2.387657801
Europe and Central Asia,2000,2.274805864
Europe and Central Asia,2001,1.937116477
Europe and Central Asia,2002,1.583560773
Europe and Central Asia,2003,1.760739736
Europe and Central Asia,2004,1.44005374
Europe and Central Asia,2005,1.369685175
Europe and Central Asia,2006,1.1686811
Europe and Central Asia,2007,0.942125074
Europe and Central Asia,2008,0.775406071
Europe and Central Asia,2009,0.674771407
Europe and Central Asia,2010,0.657210918
Europe and Central Asia,2011,0.572785796
Europe and Central Asia,2012,0.548551434
Europe and Central Asia,2013,0.439571689
Europe and Central Asia,2014,0.556837637
Europe and Central Asia,2015,0.432990228
Europe and Central Asia,2016,0.403451246
Europe and Central Asia,2017,0.398803443
Europe and Central Asia,2018,0.265022432
Europe and Central Asia,2019,0.273836295
Fiji,2002,0.384921865
Fiji,2008,0.208301918
Fiji,2013,0.078506239
Fiji,2019,0.259054283
Finland,1987,0
Finland,1991,0
Finland,1995,0
Finland,2000,0
Finland,2003,0.039364124
Finland,2004,0.027044387
Finland,2005,0.038621983
Finland,2006,0.069266241
Finland,2007,0.033982834
Finland,2008,0.021227275
Finland,2009,0.039449722
Finland,2010,0.030171572
Finland,2011,0.039719832
Finland,2012,0.048670617
Finland,2013,0.06489072
Finland,2014,0.043373517
Finland,2015,0.055712607
Finland,2016,0.028553456
Finland,2017,0.061905794
Finland,2018,0.04674209
Finland,2019,0.038007693
France,1978,0.585770141
France,1984,1.106130431
France,1989,0.827194833
France,1994,0
France,2000,0
France,2003,0.055566935
France,2004,0.024229432
France,2005,0.03157145
France,2006,0.0193677
France,2007,0.011304697
France,2008,0.007414238
France,2009,0.02211034
France,2010,0.04788616
France,2011,0.002682417
France,2012,0.025088986
France,2013,0.047740126
France,2014,0.00837455
France,2015,0.060861179
France,2016,0.051016378
France,2017,0.005337476
France,2018,0.013369163
Gabon,2005,1.849879442
Gabon,2017,0.839927431
Gambia,1998,36.25247813
Gambia,2003,17.93656524
Gambia,2010,7.587408302
Gambia,2015,2.263785036
Georgia,1996,1.002206076
Georgia,1997,5.649458453
Georgia,1998,5.359783126
Georgia,1999,6.376807787
Georgia,2000,6.923304052
Georgia,2001,6.508104536
Georgia,2002,3.030403431
Georgia,2003,3.241933931
Georgia,2004,3.062193884
Georgia,2005,3.21389992
Georgia,2006,3.122994864
Georgia,2007,3.372337893
Georgia,2008,2.893500607
Georgia,2009,2.969766782
Georgia,2010,3.608794771
Georgia,2011,3.517984774
Georgia,2012,2.377244161
Georgia,2013,1.602757496
Georgia,2014,1.236305841
Georgia,2015,0.883429611
Georgia,2016,0.930327006
Georgia,2017,1.249499734
Georgia,2018,1.208180321
Georgia,2019,0.841701699
Georgia,2020,1.117297029
Germany,1991,0
Germany,1992,0
Germany,1993,0
Germany,1994,0.120282314
Germany,1995,0.126201356
Germany,1996,0
Germany,1997,0
Germany,1998,0
Germany,1999,0
Germany,2000,0
Germany,2001,0
Germany,2002,0
Germany,2003,0
Germany,2004,0
Germany,2005,0
Germany,2006,0
Germany,2007,0
Germany,2008,0
Germany,2009,0
Germany,2010,0
Germany,2011,0
Germany,2012,0
Germany,2013,0
Germany,2014,0
Germany,2015,0
Germany,2016,0
Germany,2017,0.092265069
Germany,2018,0
Ghana,1987,13.40463388
Ghana,1988,12.92787694
Ghana,1991,16.69882429
Ghana,1998,11.54506659
Ghana,2005,7.64993601
Ghana,2012,3.194777556
Ghana,2016,4.438036589
Greece,1995,1.139517842
Greece,2000,0.401907851
Greece,2003,0.410548172
Greece,2004,0.498653131
Greece,2005,0.217931549
Greece,2006,0.335067376
Greece,2007,0.410355972
Greece,2008,0.290109375
Greece,2009,0.535269045
Greece,2010,0.723836457
Greece,2011,0.858175076
Greece,2012,0.647854168
Greece,2013,0.337881562
Greece,2014,0.836630457
Greece,2015,0.79735969
Greece,2016,0.57498004
Greece,2017,0.43224677
Greece,2018,0.116974785
Greece,2019,0.427412997
Guatemala,1986,23.59277636
Guatemala,1989,17.66648102
Guatemala,1998,5.111123468
Guatemala,2000,3.311485199
Guatemala,2006,3.765736472
Guatemala,2014,2.554053365
Guinea,1991,62.2081523
Guinea,1994,19.81679559
Guinea,2002,26.94824568
Guinea,2007,22.70107252
Guinea,2012,10.60740385
Guinea,2018,5.60707269
Guinea-Bissau,1993,15.95025281
Guinea-Bissau,2002,20.06184917
Guinea-Bissau,2010,31.98441469
Guinea-Bissau,2018,5.554022901
Guyana,1992,10.53371409
Guyana,1998,5.800761893
Haiti,2001,33.91012387
Haiti,2012,7.970078214
Haiti,2012,28.66360498
High income countries,1990,0.283312973
High income countries,1991,0.278561005
High income countries,1992,0.299378427
High income countries,1993,0.327399384
High income countries,1994,0.327811929
High income countries,1995,0.330110854
High income countries,1996,0.323611301
High income countries,1997,0.348525125
High income countries,1998,0.381787922
High income countries,1999,0.338331745
High income countries,2000,0.329400559
High income countries,2001,0.358394092
High income countries,2002,0.34914336
High income countries,2003,0.387115826
High income countries,2004,0.392625366
High income countries,2005,0.393631297
High income countries,2006,0.375296232
High income countries,2007,0.35837277
High income countries,2008,0.383855602
High income countries,2009,0.346091776
High income countries,2010,0.396715662
High income countries,2011,0.414502257
High income countries,2012,0.406048215
High income countries,2013,0.428305462
High income countries,2014,0.459933238
High income countries,2015,0.46536612
High income countries,2016,0.451819614
High income countries,2017,0.476331529
High income countries,2018,0.421754443
High income countries,2019,0.392444557
Honduras,1986,25.28178398
Honduras,1989,19.51867919
Honduras,1990,21.16739227
Honduras,1991,13.75859834
Honduras,1992,11.11828942
Honduras,1993,9.104846459
Honduras,1994,10.92583742
Honduras,1995,11.40742099
Honduras,1996,13.6525305
Honduras,1997,8.02312438
Honduras,1998,13.32953502
Honduras,1999,13.18000728
Honduras,2001,9.110737852
Honduras,2002,10.31609899
Honduras,2003,12.90895646
Honduras,2004,12.33047534
Honduras,2005,13.28163456
Honduras,2006,10.84018827
Honduras,2007,6.723294686
Honduras,2008,6.798905224
Honduras,2009,4.924974495
Honduras,2010,5.481858242
Honduras,2011,6.275641007
Honduras,2012,7.632707505
Honduras,2013,5.999804936
Honduras,2014,5.024256414
Honduras,2015,5.010312489
Honduras,2016,6.249609355
Honduras,2017,5.707398014
Honduras,2018,5.848266185
Honduras,2019,5.016685621
Hungary,1987,0.051716064
Hungary,1989,0.019167423
Hungary,1991,0.951224486
Hungary,1993,0.157587389
Hungary,1994,0.480895776
Hungary,1998,0.002354117
Hungary,1999,0.009067109
Hungary,1999,0.130250935
Hungary,2000,0
Hungary,2001,0
Hungary,2002,0
Hungary,2003,0.001914277
Hungary,2004,0
Hungary,2004,0.061819968
Hungary,2005,0
Hungary,2005,0.337972888
Hungary,2006,0
Hungary,2006,0.080877124
Hungary,2007,0
Hungary,2007,0.034177749
Hungary,2008,0.005255293
Hungary,2009,0.027194358
Hungary,2010,0.010062699
Hungary,2011,0.031428474
Hungary,2012,0.186984074
Hungary,2013,0.0240383
Hungary,2014,0.438466479
Hungary,2015,0.301623338
Hungary,2016,0.72433596
Hungary,2017,0.346105979
Hungary,2018,0.125861179
Hungary,2019,0.112467071
Iceland,2003,0
Iceland,2004,0.100016652
Iceland,2005,0.010699675
Iceland,2006,0.070818263
Iceland,2007,0.02155938
Iceland,2008,0.047092985
Iceland,2009,0.056052706
Iceland,2010,0.098019066
Iceland,2011,0.099388192
Iceland,2012,0.021794769
Iceland,2013,0.039505106
Iceland,2014,0
Iceland,2015,0.004513744
Iceland,2016,0
Iceland,2017,0
India,1977,21.82689843
India,1977,24.24878435
India,1977,13.25320675
India,1983,17.88697443
